,0
0,genes
1,ALG3
3,A1BG
4,A2M
5,A2ML1
6,A3GALT2
7,A4GALT
8,AAAS
9,AADAT
10,AAGAB
11,AAK1
12,AAMP
13,AANAT
14,AARS2
15,AASDHPPT
16,AASS
17,AATF
18,ABAT
19,ABCA6
20,ABCA7
21,ABCA8
23,ABCB10
24,ABCB7
25,ABCB8
26,ABCC1
27,ABCC12
28,ABCC5
29,ABCC6
30,ABCC8
31,ABCC9
32,ABCD2
33,ABCD3
34,ABCE1
35,ABCF1
36,ABCG1
37,ABCG2
38,ABCG4
39,ABCG8
40,ABHD10
41,ABHD12
42,ABHD14B
43,ABHD16A
44,ABHD16B
45,ABHD17A
46,ABHD2
47,ABHD5
48,ABI1
50,ABI3
51,ABL1
52,ABL2
53,ABLIM1
54,ABLIM2
55,ABLIM3
56,ABR
57,ABRAXAS2
59,ACAA1
60,ACAA2
61,ACACA
62,ACACB
63,ACAD11
64,ACAD9
65,ACADM
66,ACADSB
67,ACADVL
68,ACAP2
69,ACAT1
70,ACAT2
71,ACBD3
72,ACBD5
73,ACCS
74,ACD
75,ACER2
76,ACER3
77,ACHE
78,ACIN1
79,ACKR2
80,ACKR3
81,ACKR4
82,ACO1
83,ACO2
84,ACOT11
85,ACOT13
86,ACOT2
87,ACOT4
88,ACOT7
89,ACOT8
90,ACOX1
91,ACOX2
92,ACOX3
93,ACP1
94,ACP6
95,ACR
96,ACSBG1
97,ACSF2
98,ACSF3
99,ACSL1
100,ACSL3
101,ACSL4
102,ACSL6
103,ACSM1
104,ACSM2A
105,ACSS1
106,ACSS2
107,ACSS3
108,ACTA1
109,ACTA2
110,ACTB
111,ACTC1
113,ACTL6A
114,ACTL6B
115,ACTN1
116,ACTN2
117,ACTN4
118,ACTR1A
119,ACTR1B
120,ACTR3
121,ACTR5
122,ACTR6
123,ACTR8
124,ACVR1
126,ACVR1C
127,ACVR2A
128,ACVR2B
129,ACVRL1
130,ADAM10
131,ADAM15
132,ADAM17
133,ADAM19
134,ADAM22
135,ADAM28
136,ADAM9
137,ADAMTS1
138,ADAMTS10
139,ADAMTS13
140,ADAMTS4
141,ADAMTS5
142,ADAMTS7
143,ADAMTS9
144,ADAMTSL3
145,ADAMTSL5
146,ADAP1
147,ADAP2
148,ADAR
149,ADARB1
150,ADCY1
151,ADCY2
152,ADCY3
153,ADCY4
154,ADCY5
155,ADCY6
156,ADCY7
157,ADCY9
158,ADCYAP1
159,ADCYAP1R1
160,ADD1
161,ADD2
162,ADD3
163,ADGRA2
164,ADGRB1
165,ADGRB2
166,ADGRB3
167,ADGRF5
168,ADGRG1
169,ADGRG6
170,ADGRL3
171,ADGRV1
172,ADH1C
173,ADH5
174,ADHFE1
175,ADI1
176,ADIPOR1
177,ADIPOR2
178,ADIRF
179,ADK
180,ADM
181,ADNP
182,ADO
183,ADORA1
184,ADPGK
185,ADRA1A
186,ADRA1B
187,ADRA2A
188,ADRA2C
189,ADRB1
190,ADRM1
191,ADSL
192,ADTRP
193,AEBP1
194,AEBP2
195,AFAP1
196,AFAP1L2
197,AFDN
198,AFF1
199,AFF2
200,AFF3
201,AFF4
202,AFG1L
203,AFG3L2
204,AFTPH
205,AGAP1
206,AGAP2
207,AGBL2
208,AGBL3
209,AGBL4
210,AGBL5
211,AGER
212,AGFG1
213,AGGF1
214,AGK
215,AGL
216,AGMAT
217,AGO1
218,AGO2
219,AGO3
220,AGO4
221,AGPAT1
222,AGPAT3
223,AGPAT5
224,AGPS
225,AGT
226,AGTPBP1
227,AGTRAP
228,AGXT
229,AHCTF1
230,AHCY
231,AHCYL1
232,AHDC1
233,AHI1
234,AHNAK2
235,AHR
236,AHSA1
237,AHSG
238,AIDA
239,AIF1
240,AIF1L
241,AIFM1
242,AIFM2
243,AIFM3
244,AIG1
245,AIM2
246,AIMP1
247,AIMP2
248,AIP
249,AIRE
250,AJAP1
251,AK1
252,AK3
253,AK4
254,AK5
255,AK6
256,AK8
257,AK9
258,AKAIN1
259,AKAP1
260,AKAP10
261,AKAP11
262,AKAP12
263,AKAP13
264,AKAP17A
265,AKAP5
266,AKAP6
267,AKAP7
268,AKAP8
269,AKAP8L
270,AKAP9
271,AKIP1
272,AKIRIN1
273,AKIRIN2
274,AKR1A1
275,AKR1B1
276,AKR1C1
277,AKR1C3
278,AKR1C4
279,AKR1E2
280,AKR7A2
281,AKR7A3
282,AKT1S1
283,AKT2
284,AKT3
285,ALAD
286,ALAS1
287,ALAS2
288,ALB
289,ALCAM
290,ALDH18A1
291,ALDH1A1
292,ALDH1A3
293,ALDH1B1
294,ALDH1L1
295,ALDH1L2
296,ALDH2
297,ALDH3A2
298,ALDH3B1
299,ALDH4A1
300,ALDH5A1
301,ALDH6A1
302,ALDH7A1
303,ALDH8A1
304,ALDH9A1
305,ALDOA
306,ALDOC
307,ALG1
308,ALG10B
309,ALG12
310,ALG2
311,ALG6
312,ALK
313,ALKAL1
314,ALKAL2
315,ALKBH1
316,ALKBH2
317,ALKBH3
318,ALKBH4
319,ALKBH5
320,ALKBH6
321,ALKBH7
322,ALKBH8
323,ALMS1
324,ALOX12B
325,ALOX15B
326,ALOX5
327,ALOX5AP
328,ALOXE3
329,ALPK1
330,ALPL
331,ALPP
332,ALS2
333,ALX3
334,ALYREF
335,AMACR
337,AMDHD2
338,AMER1
339,AMER2
341,AMH
342,AMMECR1
343,AMN
344,AMOT
345,AMOTL1
346,AMPD2
347,AMPH
348,AMT
349,AMY2A
360,ANG
361,ANGEL1
362,ANGEL2
363,ANGPT1
364,ANGPT2
365,ANGPT4
366,ANGPTL4
367,ANK1
368,ANKH
369,ANKK1
370,ANKLE2
372,ANKRD10
373,ANKRD11
374,ANKRD12
375,ANKRD13A
376,ANKRD13B
377,ANKRD13C
378,ANKRD13D
379,ANKRD17
380,ANKRD2
381,ANKRD23
382,ANKRD26
383,ANKRD37
384,ANKRD45
385,ANKRD49
386,ANKRD53
387,ANKRD6
389,ANKS1A
390,ANKS1B
391,ANKZF1
392,ANLN
393,ANO10
394,ANO2
395,ANO3
396,ANO4
397,ANO5
398,ANO6
399,ANO7
400,ANO8
401,ANP32A
402,ANP32B
403,ANP32E
404,ANTXR1
405,ANXA1
406,ANXA3
407,ANXA4
408,ANXA5
409,ANXA7
410,AOAH
411,AOC3
412,AP1AR
413,AP1G2
414,AP3S1
415,AP4B1
416,AP4E1
417,AP4S1
418,AP5Z1
419,APAF1
420,APBA1
421,APBA3
423,APBB1IP
424,APBB2
425,APBB3
426,APC2
427,APCDD1
428,APCS
429,APEH
430,APEX1
431,APEX2
432,APH1A
433,APH1B
434,API5
435,APIP
436,APLN
437,APLNR
438,APLP1
439,APLP2
440,APMAP
441,APOA1
442,APOC1
443,APOD
444,APOE
445,APOL1
446,APOL4
447,APOM
448,APOO
449,APOOL
451,APPL1
452,APPL2
453,APRT
454,APTX
455,AQP1
456,AQP11
457,AQP2
458,AQP4
459,AQP5
460,AQP6
461,AQP7
462,AQR
463,AR
464,ARAF
465,ARAP1
466,ARAP2
467,ARAP3
468,ARC
470,ARF1
471,ARF4
472,ARF6
473,ARFGAP1
474,ARFGAP2
475,ARFGAP3
476,ARFGEF1
477,ARFGEF2
478,ARFIP1
479,ARFIP2
480,ARFRP1
481,ARG2
482,ARGLU1
483,ARHGAP1
484,ARHGAP12
485,ARHGAP17
486,ARHGAP18
487,ARHGAP19
488,ARHGAP21
489,ARHGAP22
490,ARHGAP25
491,ARHGAP26
492,ARHGAP28
493,ARHGAP29
494,ARHGAP32
495,ARHGAP33
496,ARHGAP35
497,ARHGAP39
498,ARHGAP4
499,ARHGAP42
500,ARHGAP44
501,ARHGAP5
502,ARHGAP6
503,ARHGAP9
504,ARHGDIB
505,ARHGDIG
506,ARHGEF1
507,ARHGEF10
508,ARHGEF10L
509,ARHGEF11
510,ARHGEF12
511,ARHGEF15
512,ARHGEF16
513,ARHGEF17
514,ARHGEF18
515,ARHGEF18
516,ARHGEF2
517,ARHGEF40
518,ARHGEF7
519,ARHGEF9
520,ARID1A
521,ARID1B
522,ARID2
523,ARID3A
524,ARID3B
525,ARID4A
526,ARID4B
527,ARID5A
528,ARID5B
531,ARL1
532,ARL13B
533,ARL14EP
534,ARL16
535,ARL2
536,ARL2BP
537,ARL3
538,ARL4A
539,ARL4C
540,ARL4D
541,ARL6
542,ARL6IP1
543,ARL6IP5
544,ARMC1
545,ARMC10
546,ARMC5
547,ARMC6
549,ARMC9
550,ARMT1
551,ARNT
552,ARNT2
553,ARPC1B
554,ARPC2
555,ARPC3
556,ARPC4
557,ARPC5
558,ARPIN
559,ARPP19
562,ARRDC2
564,ARSF
565,ARSJ
566,ARV1
567,ARVCF
568,ARX
569,ASAH2
570,ASAP1
571,ASAP2
572,ASAP3
574,ASB10
577,ASCC1
578,ASCC2
579,ASCC3
580,ASCL1
581,ASCL2
582,ASF1A
583,ASGR2
584,ASH1L
585,ASH2L
586,ASIC1
587,ASIP
588,ASL
589,ASMTL
590,ASPA
591,ASPH
592,ASPRV1
593,ASPSCR1
594,ASRGL1
595,ASS1
596,ASTN2
597,ASXL1
598,ASXL2
599,ASXL3
600,ATAD1
601,ATAD2
602,ATAD2B
603,ATAD3A
604,ATAD3B
605,ATAD3C
606,ATAD5
607,ATAT1
608,ATCAY
609,ATE1
610,ATF1
611,ATF2
612,ATF3
613,ATF4
614,ATF5
615,ATF6
616,ATF6B
617,ATF7
618,ATF7IP
620,ATG101
621,ATG12
622,ATG13
623,ATG16L2
624,ATG2A
625,ATG2B
627,ATG4A
628,ATG4B
629,ATG4C
630,ATG4D
633,ATG9A
634,ATIC
635,ATL1
636,ATL2
637,ATL3
638,ATM
639,ATMIN
640,ATN1
641,ATOH7
642,ATOH8
643,ATOX1
644,ATP10A
645,ATP10D
646,ATP13A1
647,ATP13A3
648,ATP1A1
649,ATP1A2
650,ATP1A3
651,ATP1A4
652,ATP1B1
653,ATP1B2
654,ATP1B3
655,ATP23
656,ATP2A2
657,ATP2B1
658,ATP2B2
659,ATP2B3
660,ATP2B4
661,ATP2C1
662,ATP2C2
663,ATP5F1A
664,ATP5F1B
665,ATP5F1C
666,ATP5F1D
667,ATP5IF1
668,ATP5MC1
669,ATP5ME
670,ATP5MF
671,ATP5MG
672,ATP5PB
673,ATP5PD
674,ATP5PF
675,ATP5PO
676,ATP7A
677,ATP7B
678,ATP8A2
679,ATP8B1
680,ATP8B2
681,ATP9A
682,ATP9B
683,ATPAF2
684,ATR
685,ATRIP
686,ATRN
687,ATRX
688,ATXN1
689,ATXN10
690,ATXN1L
691,ATXN2
692,ATXN2L
693,ATXN7
694,ATXN7L3
695,ATXN7L3B
696,AUH
697,AUNIP
700,AURKAIP1
701,AURKB
702,AURKC
703,AUTS2
704,AVEN
705,AVIL
706,AVL9
707,AVP
708,AVPR2
711,AXL
712,AZGP1
713,AZIN1
714,AZIN2
715,B3GALNT2
716,B3GALT1
717,B3GALT2
718,B3GALT4
719,B3GALT6
720,B3GAT1
721,B3GAT3
722,B3GNT2
723,B3GNT4
724,B3GNT5
725,B3GNT6
726,B3GNT7
727,B3GNT8
728,B4GALNT1
729,B4GALNT4
730,B4GALT2
731,B4GALT3
732,B4GALT4
733,B4GALT6
734,B4GALT7
735,B4GAT1
736,B9D1
737,B9D2
738,BAALC
739,BAAT
740,BABAM1
742,BACE2
743,BACH1
744,BACH2
745,BAD
748,BAG3
752,BAHD1
753,BAIAP2
754,BAIAP2L2
755,BAIAP3
756,BAK1
757,BAMBI
758,BANF1
759,BANP
760,BAP1
762,BASP1
763,BATF3
764,BAX
765,BAZ1A
766,BAZ1B
767,BAZ2A
768,BAZ2B
769,BBIP1
770,BBOX1
771,BBS1
772,BBS2
773,BBS4
774,BBS5
775,BBS7
776,BBS9
777,BBX
778,BCAM
779,BCAP31
780,BCAR1
781,BCAS2
782,BCAS3
783,BCAT2
784,BCCIP
785,BCDIN3D
786,BCHE
787,BCKDHA
788,BCKDHB
789,BCKDK
790,BCL11A
791,BCL11B
793,BCL2A1
794,BCL2L1
795,BCL2L10
796,BCL2L11
797,BCL2L12
798,BCL2L13
799,BCL2L2
800,BCL3
801,BCL6
802,BCL6B
803,BCL7A
804,BCL7B
805,BCL7C
806,BCL9
807,BCL9L
808,BCLAF1
809,BCO2
811,BCORL1
812,BCR
813,BCS1L
814,BDH1
815,BDH2
816,BDKRB2
817,BDNF
818,BDP1
819,BEND3
820,BEND5
821,BEST1
822,BET1L
823,BEX1
824,BEX2
825,BEX3
826,BEX4
828,BHLHE22
829,BHLHE23
830,BHLHE40
831,BHLHE41
832,BHMT2
833,BICC1
834,BICD1
835,BICD2
836,BICRA
837,BICRAL
841,BIRC6
842,BLCAP
843,BLM
844,BLMH
845,BLNK
846,BLVRA
847,BLVRB
849,BMF
850,BMP1
851,BMP10
852,BMP2
853,BMP2K
854,BMP6
855,BMP7
856,BMPER
857,BMPR1A
858,BMPR1B
859,BMPR2
860,BMS1
861,BMT2
862,BNIP1
863,BNIP2
864,BNIP3
865,BNIP3L
866,BNIPL
867,BOD1
868,BOD1L1
870,BOLA1
871,BOLA3
872,BOP1
873,BPHL
874,BPTF
875,BRAF
877,BRAT1
880,BRD1
881,BRD2
882,BRD3
883,BRD4
884,BRD7
885,BRD8
886,BRD9
887,BRF2
888,BRI3BP
889,BRINP1
890,BRIX1
891,BRK1
892,BRMS1
893,BROX
894,BRPF1
895,BRPF3
896,BRSK1
897,BRSK2
898,BRWD1
899,BSCL2
900,BSG
901,BTAF1
902,BTBD1
903,BTBD10
904,BTBD2
905,BTBD8
906,BTC
907,BTF3
908,BTG1
909,BTG2
910,BTG3
911,BTN3A1
912,BTN3A2
913,BTN3A3
915,BUB3
916,BUD13
917,BUD23
918,BUD31
919,BVES
920,BYSL
921,BZW1
922,BZW2
924,C11orf24
925,C11orf54
926,C12orf57
927,C14orf119
928,C15orf39
929,C16orf89
930,C17orf75
931,C19orf12
932,C19orf47
933,C1D
934,C1GALT1
935,C1orf115
936,C1orf131
937,C1orf174
938,C1orf198
939,C1orf43
940,C1orf52
941,C1QA
942,C1QB
943,C1QBP
944,C1QC
945,C1QTNF3
946,C1QTNF4
947,C1R
948,C1S
949,C2CD2L
950,C2CD3
951,C2CD4A
952,C2CD4B
953,C2CD5
954,C2CD6
955,C2orf42
956,C2orf49
957,C2orf69
958,C3orf33
959,C3orf38
960,C4BPB
961,C5
962,C5AR2
963,C6orf89
964,C7
965,C9orf78
966,CA2
967,CA4
968,CA5A
969,CA5B
970,CAB39
971,CABIN1
972,CABLES1
973,CABP1
974,CABP2
975,CABP4
976,CABP5
977,CABP7
978,CABYR
979,CACNA1A
980,CACNA1B
981,CACNA1C
982,CACNA1D
983,CACNA1E
984,CACNA1F
985,CACNA1G
986,CACNA1H
987,CACNA2D1
988,CACNB2
989,CACNB3
990,CACNB4
991,CACNG6
992,CACTIN
994,CAD
995,CADM1
996,CADM4
997,CADPS2
998,CALB1
999,CALB2
1000,CALCA
1001,CALCOCO1
1002,CALCOCO2
1003,CALD1
1004,CALHM1
1005,CALHM2
1006,CALM1
1007,CALM2
1008,CALM3
1009,CALN1
1010,CALU
1011,CALY
1012,CAMK1
1013,CAMK1D
1014,CAMK2A
1015,CAMK2B
1016,CAMK2D
1017,CAMK2G
1018,CAMK4
1019,CAMKK2
1020,CAMKMT
1022,CAMSAP1
1023,CAMSAP2
1024,CAMSAP3
1025,CAMTA1
1026,CAMTA2
1028,CAND2
1029,CANT1
1030,CANX
1031,CAPG
1032,CAPN10
1033,CAPN3
1034,CAPN5
1035,CAPN7
1036,CAPNS1
1037,CAPNS2
1038,CAPRIN1
1039,CAPRIN2
1040,CAPS
1041,CAPZA1
1042,CAPZB
1043,CARD10
1044,CARD14
1045,CARD16
1046,CARD19
1047,CARD8
1048,CARD9
1049,CARF
1050,CARHSP1
1051,CARM1
1052,CARMIL1
1053,CARMIL2
1054,CARMIL3
1055,CARNMT1
1056,CARNS1
1057,CARTPT
1058,CASC2
1060,CASD1
1061,CASK
1062,CASP1
