,risk gene,clearance gene,correlation,t
4594616,TNF,IFITM1,0.796015525454613,602
2019070,HOXB7,NKG7,0.796016756354532,252
4594617,PTHLH,IFITM1,0.796017082860887,418
4594618,TIAM2,IFITM1,0.796017159633497,462
4594619,CKS2,IFITM1,0.79601717303553,524
4594620,TMEM161B,IFITM1,0.796017390288587,514
4594621,ZNF629,IFITM1,0.796017408032918,498
7626424,DTWD2,NEU4,0.796017978865204,304
2630512,DCN,PLA2G5,0.796018476484027,412
1980100,ELOVL2,GNLY,0.796019570971834,411
4594622,USP5,IFITM1,0.796020324486757,449
4594623,NPPA,IFITM1,0.796020427855182,408
4594624,PRKAB2,IFITM1,0.796020807514162,365
4594625,FGF14,IFITM1,0.796021003059935,430
4842339,RALGDS,VPS13C,0.79602193937307,333
4594626,SH2B1,IFITM1,0.796022081231946,426
2019071,TNFAIP8,NKG7,0.796022132441537,272
4594627,KCTD2,IFITM1,0.796022563385469,379
4594628,MMACHC,IFITM1,0.796023111934639,462
2019072,SDS,NKG7,0.796023957776854,234
4594629,NXPH2,IFITM1,0.796024497578757,482
2019073,XCR1,NKG7,0.796024632430854,242
4594630,ECSIT,IFITM1,0.796025410966255,477
4594631,GPM6A,IFITM1,0.796026343417095,404
4594632,TSPAN14,IFITM1,0.796026362420057,364
1980101,GAMT,GNLY,0.796027604397243,379
2630513,DOPEY1,PLA2G5,0.79602799419386,412
4594633,DTX2P1_UPK3BP1_PMS2P11,IFITM1,0.796028511661753,422
2630514,ZNF440,PLA2G5,0.796030852216243,420
4594634,CHRM2,IFITM1,0.796031612372146,420
4594635,SNX9,IFITM1,0.79603181783839,587
379885,SNRNP27,CLN5,0.796031839822771,676
2019074,AP1G1,NKG7,0.796032166801545,255
4594636,PIP5KL1,IFITM1,0.796033524285279,619
4594637,HDAC8,IFITM1,0.796033557993517,468
2630515,CORT,PLA2G5,0.796034685433335,411
2630516,JAK2,PLA2G5,0.796034689255354,421
4594638,TRIM45,IFITM1,0.796037837163661,356
4594639,GOT2,IFITM1,0.796038435810837,455
1980102,ZNHIT1,GNLY,0.796038483947966,393
4594640,OCEL1,IFITM1,0.796038870406037,515
1980103,UBN2,GNLY,0.796039152160985,410
4594641,ANP32A_IT1,IFITM1,0.796040485392054,610
379886,PGM1,CLN5,0.796040885740754,666
4594642,CIT,IFITM1,0.796041194899838,538
2019075,MAMLD1,NKG7,0.796041587211163,243
1980104,IFI44,GNLY,0.796041643331623,424
4594643,KPNA4,IFITM1,0.796042631699707,492
4594644,C9orf3,IFITM1,0.796042698316052,492
2630517,YWHAZ,PLA2G5,0.796046363138153,360
4594645,RTKN2,IFITM1,0.796046413525535,488
4594646,GABRG2,IFITM1,0.796047265151908,529
4594647,AASDH,IFITM1,0.796047418501881,390
4594648,ATG7,IFITM1,0.79604786604355,414
4594649,FAM49B,IFITM1,0.796049135665045,543
4594650,STARD5,IFITM1,0.796049416013651,584
4594651,EIF1AX,IFITM1,0.7960495957586,473
2630518,GNAL,PLA2G5,0.796050313231472,411
4594652,FKBP15,IFITM1,0.796050493603449,499
4594653,MYO19,IFITM1,0.796052443342356,412
1980105,CTAGE11P,GNLY,0.796052919443516,395
379887,DTYMK,CLN5,0.796053370847953,778
2630519,FAIM,PLA2G5,0.796053878383454,425
952322,CRYL1,DRAM2,0.796054655126892,361
952323,TMEM209,DRAM2,0.796054723513141,369
1980106,DIO3OS,GNLY,0.796054755372172,458
379888,DLEU1,CLN5,0.796055337757603,865
1980107,RASL11A,GNLY,0.796058096534047,465
2630520,CEP97,PLA2G5,0.796058099647591,476
1980108,MXRA8,GNLY,0.796059568844361,414
952324,TBX2,DRAM2,0.796060082637207,464
4594654,OSBPL3,IFITM1,0.796060834981663,561
2630521,TERF2IP,PLA2G5,0.79606193071013,397
4594655,PPP1R12A,IFITM1,0.796064012400338,451
1980109,UNC5C,GNLY,0.796064162003852,438
4594656,DHX35,IFITM1,0.796065975226756,585
4594657,ACTR1B,IFITM1,0.796066958440172,441
4594658,ELMOD3,IFITM1,0.796067065345018,569
4594659,PREP,IFITM1,0.796067169193378,432
4594660,FAM102B,IFITM1,0.79606718486404,455
379889,COPS6,CLN5,0.79606790406172,708
379890,LIPA,CLN5,0.796068023604452,855
4594661,ZFR2,IFITM1,0.796068638722348,414
1980110,TNFRSF1A,GNLY,0.796068781806993,325
2630522,KIAA1841,PLA2G5,0.796070582542219,430
4594662,TPX2,IFITM1,0.796070928983824,424
4594663,PEX14,IFITM1,0.796071064462561,444
4594664,KCNAB3,IFITM1,0.796072082031694,554
379891,NSFL1C,CLN5,0.796073054809872,668
2630523,IL17RA,PLA2G5,0.796075159135191,429
2019076,HEBP2,NKG7,0.796075226119538,253
4594665,ZNF8,IFITM1,0.796075769436789,438
4594666,SLC25A41,IFITM1,0.796075795855263,496
4594667,PKD2L1,IFITM1,0.796076330751853,409
4594668,TUBA1B,IFITM1,0.796076424017529,414
4594669,ZNF143,IFITM1,0.796076440527272,582
4594670,ARHGAP9,IFITM1,0.796078352965653,585
1980111,C22orf15,GNLY,0.796078376724263,395
2630524,RIOK1,PLA2G5,0.796079841342823,452
379892,ZNF83,CLN5,0.796080970309378,774
4842340,COX7A1,VPS13C,0.796081745575767,339
1980112,BTN3A1,GNLY,0.796082197785395,433
7860656,CENPJ,PRDX5,0.796082728922001,460
7626425,SORCS1,NEU4,0.796083646428829,257
4594671,EI24,IFITM1,0.796085605054392,363
4594672,ZADH2,IFITM1,0.796086400696539,472
4594673,RAP2A,IFITM1,0.796087798917066,417
4594674,SYT14,IFITM1,0.796087953386987,478
2630525,CAPRIN2,PLA2G5,0.796087980144008,407
2630526,ZNF81,PLA2G5,0.796089325534141,451
4594675,TRO,IFITM1,0.796092097316137,423
379893,PTCH1,CLN5,0.796092171134813,680
4594676,MYO1E,IFITM1,0.796092239241394,647
4594677,CROCCP2,IFITM1,0.796092751343057,568
4594678,ERBB3,IFITM1,0.796092965687161,545
4594679,JAZF1,IFITM1,0.796093046357701,415
4594680,PID1,IFITM1,0.796093955841822,421
4594681,GFOD2,IFITM1,0.796094674490328,478
4594682,C19orf25,IFITM1,0.796094864077117,470
4594683,DSP,IFITM1,0.796095998511231,363
4594684,LRRC8B,IFITM1,0.796096556959282,385
4594685,UNC119,IFITM1,0.796096999156419,476
2630527,ZBTB25,PLA2G5,0.79609844652997,467
379894,ALDH4A1,CLN5,0.796100137111834,666
952325,SOX8,DRAM2,0.796100344390555,368
379895,APAF1,CLN5,0.796101867452262,498
379896,FZD8,CLN5,0.796101877791732,548
4594686,CHL1,IFITM1,0.796102103523425,377
1980113,RAVER1,GNLY,0.796102926792967,414
4594687,LENG8,IFITM1,0.796103666266847,424
4594688,SEC14L5,IFITM1,0.796104691508868,590
2019077,IGSF9,NKG7,0.796105462870265,243
4594689,LOR,IFITM1,0.796105608279096,393
4594690,TOX3,IFITM1,0.796105947924159,412
1980114,SRBD1,GNLY,0.796106935119117,444
1980115,FBXO30,GNLY,0.796107953849604,435
4594691,CCND2,IFITM1,0.796107979428417,402
4594692,STRN,IFITM1,0.796108912784701,649
2630528,PSPN,PLA2G5,0.79610936182778,415
4594693,KCNS2,IFITM1,0.796109443500821,440
4594694,AP1S1,IFITM1,0.796109570897138,416
379897,RYBP,CLN5,0.796111133151809,691
2630529,NMNAT1,PLA2G5,0.796111433543428,399
952326,PNRC1,DRAM2,0.796112532277041,360
2019078,DNAJB4,NKG7,0.796113812930425,257
379898,DTNBP1,CLN5,0.796114299728215,663
2019079,ZNF763,NKG7,0.796114621149048,255
2019080,AUTS2,NKG7,0.796115351869699,246
7626426,KIAA2013,NEU4,0.796116285721377,269
4426027,SDR16C5,LMBRD1,0.79611628588134,313
4594695,TBC1D16,IFITM1,0.796117712357386,566
2019081,PI4K2B,NKG7,0.796118053216182,247
4594696,LIN9,IFITM1,0.796118676758384,569
4594697,PPP1R3F,IFITM1,0.796119970945698,454
7860657,ARL4A,PRDX5,0.796120006799082,438
2019082,KRTAP5_7,NKG7,0.796121158385373,268
4594698,TBC1D22B,IFITM1,0.796122305808551,400
7626427,SMAP1,NEU4,0.796122850833365,282
2019083,GPR156,NKG7,0.796124344061724,240
1980116,ASCC3,GNLY,0.796125365791221,399
4594699,SLIT2,IFITM1,0.796127326748764,483
1980117,CCND1,GNLY,0.796128065575015,448
1980118,JOSD2,GNLY,0.796129803682816,419
379899,FAM129B,CLN5,0.796130515330863,657
3059970,SCML1,MITF,0.796130746153975,298
4594700,ENSA,IFITM1,0.796131506370106,412
2630530,MAP6,PLA2G5,0.796131554566697,380
7626428,VPS4A,NEU4,0.796132573063747,296
952327,PDE11A,DRAM2,0.796132845203287,400
1980119,PODXL,GNLY,0.796133068606684,440
4594701,KCNC1,IFITM1,0.796133106731409,537
2630531,SPOCD1,PLA2G5,0.796133402394927,548
4594702,BCAR1,IFITM1,0.79613352476602,452
2630532,C2CD2L,PLA2G5,0.796133531080822,376
1980120,WASF2,GNLY,0.796134232367624,396
4594703,MED23,IFITM1,0.796137673260341,419
952328,RND2,DRAM2,0.796139209115742,378
1980121,C4orf48,GNLY,0.7961405279017,403
4594704,CHAF1A,IFITM1,0.796144164871825,504
2630533,SLC30A5,PLA2G5,0.796144766932017,452
4594705,VDAC1,IFITM1,0.796144921324107,422
2630534,TRRAP,PLA2G5,0.796145420760907,437
4842341,FANCG,VPS13C,0.796148119300354,312
4594706,ACTR2,IFITM1,0.79614951423227,378
379900,WDR48,CLN5,0.796149984668383,715
4594707,TAF13,IFITM1,0.79615093266053,514
4594708,GTF3C3,IFITM1,0.796152349531863,654
4594709,TMEM160,IFITM1,0.796153141714535,438
4594710,ACP1,IFITM1,0.79615450215492,421
3059971,TST,MITF,0.79615648436709,312
4594711,CHRM3,IFITM1,0.796156929175021,405
7626429,MKL1,NEU4,0.796157354871991,254
4594712,FUT5,IFITM1,0.796157676765697,452
4594713,CLSTN3,IFITM1,0.7961584066483,375
4594714,RNF11,IFITM1,0.796162081772774,420
4594715,ADRA2A,IFITM1,0.796163674588434,492
4594716,JRK,IFITM1,0.79616390114824,464
4594717,GRAMD4,IFITM1,0.796164369940932,423
4594718,MADD,IFITM1,0.796167300791369,393
2630535,WNK2,PLA2G5,0.796167743965211,423
379901,NAGK,CLN5,0.796169344749409,544
2630536,DDX5,PLA2G5,0.796169462668247,428
4594719,MLLT11,IFITM1,0.796169556081902,420
4594720,IDE,IFITM1,0.79617067128901,560
2019084,GGT3P,NKG7,0.796174950075453,254
2019085,ZNF703,NKG7,0.796174951475751,231
4594721,BCL9L,IFITM1,0.796176106666784,420
4594722,YPEL4,IFITM1,0.796176590707309,460
379902,SLC39A12,CLN5,0.796177076336739,620
4594723,KRAS,IFITM1,0.796177505704558,429
4594724,DUS1L,IFITM1,0.796178040127096,513
7626430,SSBP3,NEU4,0.796178098283963,248
2019086,EPHX3,NKG7,0.796180255790858,253
379903,L3MBTL4,CLN5,0.796180875995995,577
4594725,PPM1G,IFITM1,0.796182831358288,434
2630537,KLK12,PLA2G5,0.796184621284326,391
4842342,LIMK1,VPS13C,0.796185198034776,348
1980122,HNRNPF,GNLY,0.79618740583913,480
4594726,VAV3,IFITM1,0.796188730670902,567
4594727,SORBS2,IFITM1,0.796189170897595,394
4594728,ZNF567,IFITM1,0.796190673173069,508
2630538,CAPN7,PLA2G5,0.796191497929359,446
2019087,BTG1,NKG7,0.796191966301465,231
379904,CCL19,CLN5,0.796193043238895,646
5050507,ISG20L2,GLB1,0.796193239612302,401
2019088,KRT3,NKG7,0.796194333865043,266
4594729,DFFB,IFITM1,0.796194535930029,510
4594730,COL21A1,IFITM1,0.796196732031684,437
1980123,NVL,GNLY,0.796198945513091,1818
1980124,REST,GNLY,0.79619942519075,404
2630539,HIST1H1E,PLA2G5,0.796200055576771,428
4594731,B3GALT2,IFITM1,0.796200583300756,397
4594732,CDK10,IFITM1,0.796200959461957,398
4594733,COX7A1,IFITM1,0.796201495502445,376
4594734,SYNGR4,IFITM1,0.796202608236972,414
1980125,GLRX3,GNLY,0.796204083575458,435
379905,CKS1B,CLN5,0.796204199174198,588
4594735,MRPS5,IFITM1,0.796205297835352,536
2019089,HTR2C,NKG7,0.796205432809942,220
4594736,WDR62,IFITM1,0.796206126245691,406
7626431,GRM8,NEU4,0.796206389666057,233
4594737,SART3,IFITM1,0.796206695209042,363
4594738,CRELD1,IFITM1,0.796207091296936,435
4594739,UBA1,IFITM1,0.796208172150646,422
4594740,KCNMA1,IFITM1,0.79620864558152,401
4594741,OR5B17,IFITM1,0.79621142133602,517
379906,ADCY7,CLN5,0.796211446719531,659
2630540,ZCCHC10,PLA2G5,0.796212855427426,429
1980126,SLC25A13,GNLY,0.79621306785912,443
2019090,TMEM167A,NKG7,0.796213766389575,244
2630541,RNF19B,PLA2G5,0.796216313757855,437
4594742,SHC3,IFITM1,0.796216562346908,370
2630542,RXRA,PLA2G5,0.796219270251959,376
952329,RAB3IL1,DRAM2,0.796219639958984,396
4594743,KHDRBS3,IFITM1,0.796219862474178,402
4594744,LRRC37A4P,IFITM1,0.796222313020206,493
4594745,HDAC4,IFITM1,0.796223211943173,487
4594746,HPRT1,IFITM1,0.796223572499755,380
2630543,KRT85,PLA2G5,0.796224353576033,462
4594747,ESRRG,IFITM1,0.796224455223132,599
4594748,SGIP1,IFITM1,0.796225104177406,567
4594749,ZNF263,IFITM1,0.796225509367701,465
4594750,SMPX,IFITM1,0.796228373774265,473
4594751,CARS2,IFITM1,0.796228864575841,522
3059972,TAF1A,MITF,0.796229969119701,313
4594752,SMPDL3A,IFITM1,0.796230068874353,405
4594753,CENPV,IFITM1,0.796230199074804,372
7626432,PPP2R2C,NEU4,0.796231328002872,262
2630544,RNGTT,PLA2G5,0.796232352920958,404
4594754,GBA,IFITM1,0.796232367334487,428
1980127,PATZ1,GNLY,0.796239523954496,412
2019091,ATPAF1,NKG7,0.796240663705697,247
4594755,LRRTM3,IFITM1,0.79624325801338,378
4594756,NR2F1,IFITM1,0.796244566747173,393
4594757,KCNA2,IFITM1,0.796246997109043,549
2630545,HNRNPH2,PLA2G5,0.796247180729901,407
4594758,BEND5,IFITM1,0.796247207001715,462
1980128,CYP4B1,GNLY,0.796247633661273,442
4594759,CABP1,IFITM1,0.796247685734332,463
4594760,SIRT5,IFITM1,0.796247817208572,365
4594761,TACC2,IFITM1,0.796247890279242,400
4594762,ZMIZ2,IFITM1,0.796248405844597,356
4594763,ATG13,IFITM1,0.796249349580847,493
7860658,TUSC1,PRDX5,0.79624955680964,442
379907,GPC6,CLN5,0.796251519433019,658
4594764,RRAGD,IFITM1,0.796251757116665,342
2019092,EDIL3,NKG7,0.796251868523252,258
4594765,SERINC3,IFITM1,0.796252635098377,449
379908,UMPS,CLN5,0.79625265890283,652
4594766,SOCS5,IFITM1,0.796252715076833,567
4594767,NRGN,IFITM1,0.79625286357856,478
4594768,OLFML2A,IFITM1,0.796253575422639,476
4594769,GPR137,IFITM1,0.796253754680629,466
4594770,CAMKK1,IFITM1,0.796253945248388,403
2019093,CA8,NKG7,0.79625460606826,225
4594771,RAB40C,IFITM1,0.796255062207769,397
4594772,DNAJC7,IFITM1,0.796255794668041,378
4594773,ZNF12,IFITM1,0.796255949967512,402
4594774,FIGNL2,IFITM1,0.796257164189459,419
4594775,PLEKHM3,IFITM1,0.796257365171301,454
4594776,ARF5,IFITM1,0.796257871608321,440
4594777,LGMN,IFITM1,0.796257871654701,457
1980129,CCDC102B,GNLY,0.796259715434717,414
4594778,DOCK3,IFITM1,0.796259898855568,395
4594779,PCYT2,IFITM1,0.796261274909909,442
2630546,CSNK2A1,PLA2G5,0.796262180321941,411
2630547,EIF2A,PLA2G5,0.796262360009771,459
2630548,FAM172A,PLA2G5,0.79626258223914,372
4594780,DUSP11,IFITM1,0.796262646729611,442
379909,CHRDL1,CLN5,0.796263978799491,581
2630549,TP53BP1,PLA2G5,0.796265492488544,371
4594781,IKBKG,IFITM1,0.796265860262084,487
4594782,SLC17A6,IFITM1,0.796265962174193,410
379910,DLL3,CLN5,0.796266561791283,524
4594783,ZNF304,IFITM1,0.796266975896982,505
4594784,ZCCHC4,IFITM1,0.796267044638981,628
4594785,PPME1,IFITM1,0.796267474878884,414
4594786,FBXW5,IFITM1,0.796267568340484,428
4594787,ZNF419,IFITM1,0.79626805813823,466
4594788,ZNF425,IFITM1,0.796270676347236,490
2019094,CTRC,NKG7,0.796270808122834,254
7626433,TCF20,NEU4,0.796271763789666,231
2630550,HMGN3,PLA2G5,0.796271837477065,416
1980130,SLC22A18AS,GNLY,0.796272669452496,447
7626434,BDKRB2,NEU4,0.796272788935324,227
4594789,FBXO38,IFITM1,0.796274236800754,458
2630551,PPP1R2,PLA2G5,0.796275355312524,397
4594790,TFB2M,IFITM1,0.796275751955402,555
7626435,SNAP91,NEU4,0.796276127400452,279
2630552,SCYL2,PLA2G5,0.79627661276555,414
1980131,MAPK7,GNLY,0.796278198493755,417
7626436,SLC38A11,NEU4,0.796278241746067,299
4594791,ABCA10,IFITM1,0.796278338210062,480
1980132,RDX,GNLY,0.796278662659183,430
2630553,RIN1,PLA2G5,0.796279334996602,379
4594792,FBLN7,IFITM1,0.796279600683915,485
1980133,TMEM123,GNLY,0.796280073600828,410
379911,SLCO1A2,CLN5,0.796281541219531,680
4594793,PIK3R4,IFITM1,0.796282213185433,467
4594794,CSRNP2,IFITM1,0.796282937302797,448
4594795,SLC22A10,IFITM1,0.796283231425103,323
2630554,GDPD3,PLA2G5,0.796283982392765,404
2019095,CA12,NKG7,0.796285064989953,250
4594796,MAPK8,IFITM1,0.796285607789945,381
4594797,ATG4D,IFITM1,0.796286254981527,526
4594798,NUDCD1,IFITM1,0.796286628337404,429
4594799,TPRG1L,IFITM1,0.796288359962854,394
4594800,USP27X,IFITM1,0.796288627734054,437
2630555,PCGF2,PLA2G5,0.796288923438143,442
2019096,AVEN,NKG7,0.796289963122274,277
4594801,SRSF8,IFITM1,0.796290128731601,518
4594802,SYNCRIP,IFITM1,0.796293420766703,476
1980134,ASF1A,GNLY,0.796293783538122,424
1980135,LMNA,GNLY,0.796294305863951,415
2630556,AVIL,PLA2G5,0.796294503504731,414
2019097,ZNF717,NKG7,0.79629730147177,252
952330,CHSY1,DRAM2,0.796298176112101,480
4594803,EXOSC10,IFITM1,0.796298288826006,376
4594804,UBE3B,IFITM1,0.796298633430832,437
4594805,NT5M,IFITM1,0.796299441236347,516
7860659,GLP2R,PRDX5,0.796300193008729,422
4594806,RAF1,IFITM1,0.796300714596946,444
4594807,INTS10,IFITM1,0.79630116187966,368
2630557,NFIB,PLA2G5,0.796301444024323,373
7626437,ADAM11,NEU4,0.796302115294349,274
4594808,ENPP5,IFITM1,0.796302718619121,481
4594809,EYA3,IFITM1,0.796303587407253,525
4594810,DEPDC5,IFITM1,0.796303647590467,496
7860660,UBE2Q2P1,PRDX5,0.79630367358135,460
2630558,UBQLN2,PLA2G5,0.796304564804464,406
4594811,GSK3A,IFITM1,0.796305223575406,448
4594812,GABRA1,IFITM1,0.796305345134639,474
4594813,SHROOM2,IFITM1,0.796305447219904,491
4594814,ETV6,IFITM1,0.796306276861757,521
4594815,MCM4,IFITM1,0.796306841379455,371
4594816,RAD51C,IFITM1,0.796306849848474,434
4594817,PTPRK,IFITM1,0.796307601847807,490
952331,NDUFB7,DRAM2,0.796307855136752,365
4594818,UBA5,IFITM1,0.796308445545814,362
4594819,TNFRSF11B,IFITM1,0.796308536682262,428
1980136,ANKRD53,GNLY,0.796311309255607,414
4594820,SIRT4,IFITM1,0.796312861853024,509
952332,ZFP36L1,DRAM2,0.796313144035792,350
4594821,CACNG2,IFITM1,0.796314411293912,510
2630559,FAM120B,PLA2G5,0.79631441197834,511
2019098,LARS,NKG7,0.796315145534534,250
4594822,COG2,IFITM1,0.796316350527554,541
4594823,PLCXD1,IFITM1,0.796317920299018,420
4594824,AIDA,IFITM1,0.796318446178124,457
7626438,KCND3,NEU4,0.796320265560818,266
7626439,DNASE1L2,NEU4,0.796322310777373,292
4594825,L1TD1,IFITM1,0.796322882148391,439
4594826,CBY1,IFITM1,0.796324729716411,385
4594827,STX3,IFITM1,0.796325621052477,425
2630560,CHCHD3,PLA2G5,0.796326768336909,423
4594828,PSPC1,IFITM1,0.796328495502601,466
4594829,FAM89B,IFITM1,0.796328627701239,398
952333,ACTL6A,DRAM2,0.796328891077309,395
4594830,CHAF1B,IFITM1,0.79633171134399,332
7626440,DSCAM,NEU4,0.79633256934479,309
4594831,JAKMIP3,IFITM1,0.796333205831235,605
2630561,ZNF496,PLA2G5,0.796333238352249,415
4594832,NEGR1,IFITM1,0.796333345492174,465
4594833,LEO1,IFITM1,0.796335576100362,518
4594834,PANK4,IFITM1,0.796335715865963,379
2630562,PFDN6,PLA2G5,0.796335861668932,384
4594835,FGF17,IFITM1,0.796336035107039,449
4594836,SNX8,IFITM1,0.796336202239415,413
4594837,IRS1,IFITM1,0.796336580030583,515
4594838,UCP3,IFITM1,0.796337121958506,589
4594839,QTRT1,IFITM1,0.796337324065648,427
4594840,DND1,IFITM1,0.796337996632272,619
7626441,INCENP,NEU4,0.796338996322022,242
4594841,SYNE1,IFITM1,0.796339641886816,447
4594842,NCOA5,IFITM1,0.79634026623491,434
4594843,TCTA,IFITM1,0.796344329247582,421
4594844,GGA3,IFITM1,0.796344449499943,364
1980137,HLA_DOB,GNLY,0.796345508274346,459
1771987,LRRC42,HPS4,0.796345688926141,429
2630563,PVT1,PLA2G5,0.796346423855321,385
4594845,CAPN1,IFITM1,0.79634822797122,487
4594846,MRTO4,IFITM1,0.796348361515543,387
4594847,PQLC3,IFITM1,0.796348917080004,426
1980138,RNF213,GNLY,0.796349857558629,437
4594848,SMC1A,IFITM1,0.796350117863904,486
1980139,TMPRSS2,GNLY,0.796350601065043,421
4594849,SAMD12,IFITM1,0.796350941738398,355
4594850,SOBP,IFITM1,0.796353198303238,364
4594851,ARHGEF7,IFITM1,0.796353729009528,446
2630564,BCL2L11,PLA2G5,0.796354655598725,409
4594852,PARP6,IFITM1,0.796354712346029,369
2630565,KBTBD2,PLA2G5,0.796354981207612,448
7626442,STX1B,NEU4,0.796355295147021,316
4594853,LSM11,IFITM1,0.79635690836828,443
1980140,ZNF610,GNLY,0.796358089937367,444
952334,IKZF5,DRAM2,0.796358250067437,413
2630566,ZNF426,PLA2G5,0.796358397200039,467
2630567,C1orf194,PLA2G5,0.79635867263687,402
7626443,FRMPD4,NEU4,0.796359252447069,277
4594854,ADRM1,IFITM1,0.796359654237563,414
4594855,INO80E,IFITM1,0.796360155886631,437
379912,MAP4K4,CLN5,0.796360326922943,615
1980141,SLC25A28,GNLY,0.796360884566317,428
4594856,CPLX3,IFITM1,0.796361845962943,340
2630568,PCSK4,PLA2G5,0.796362510112004,434
7626444,TLN2,NEU4,0.796362862506942,235
2630569,WARS2,PLA2G5,0.796365070447412,430
4594857,MMS19,IFITM1,0.796365717979627,416
4594858,KCNK1,IFITM1,0.796365880044844,390
4594859,NPM3,IFITM1,0.796366275599319,342
2630570,LRRC6,PLA2G5,0.796366803630576,404
2630571,NBR1,PLA2G5,0.796366997683623,433
2019099,PLCD4,NKG7,0.796367174267601,290
1980142,SLC27A6,GNLY,0.796368780284701,395
4594860,ACTG2,IFITM1,0.796368901005199,397
4594861,SLITRK1,IFITM1,0.796369191791713,417
7626445,S100P,NEU4,0.796369296767473,268
4594862,GEMIN7,IFITM1,0.796369734921985,483
4594863,ZNF267,IFITM1,0.796369907876907,490
4594864,TP53AIP1,IFITM1,0.796370093117389,423
4594865,SLC39A14,IFITM1,0.796370236071757,518
4594866,SYCE1,IFITM1,0.796370374472148,419
7860661,PXDN,PRDX5,0.79637050269491,434
4594867,DNAJC18,IFITM1,0.796372152871068,388
4594868,EFCAB7,IFITM1,0.796372232436481,474
4594869,D2HGDH,IFITM1,0.796372482093673,424
4594870,LOC407835,IFITM1,0.796372818284946,519
4594871,ST3GAL1,IFITM1,0.796373269960862,441
4594872,OR14I1,IFITM1,0.796373501974749,419
2630572,C2orf70,PLA2G5,0.796374082724739,418
7626446,CDH12,NEU4,0.796374364343967,251
4594873,MAN1C1,IFITM1,0.796374702250171,415
379913,RSPH1,CLN5,0.796375074078971,560
4594874,ABCC12,IFITM1,0.796375336540551,423
4594875,PLXDC1,IFITM1,0.796376574070415,543
4594876,WSB2,IFITM1,0.796376800399698,418
2019100,FXN,NKG7,0.796376934935314,239
4594877,MAPK9,IFITM1,0.796378752159679,392
4594878,PDPK1,IFITM1,0.796379404937514,371
4594879,MPPED1,IFITM1,0.796380667127095,424
4594880,PILRA,IFITM1,0.796381097238464,451
4594881,TUBG2,IFITM1,0.796382036521004,460
7626447,ITSN1,NEU4,0.796382398003763,260
2630573,SEC23A,PLA2G5,0.796382457040456,506
4594882,PRKAR1B,IFITM1,0.796382734575105,375
2019101,TMEM201,NKG7,0.796382816427716,271
1980143,THAP9,GNLY,0.79638312308844,436
4594883,FBXO45,IFITM1,0.796383947221238,426
4594884,FNDC4,IFITM1,0.796384679955015,482
2630574,RPP30,PLA2G5,0.796384757953021,408
2630575,ANKRD36BP2,PLA2G5,0.796385533108352,431
4594885,TRAF3,IFITM1,0.796385583261299,479
4594886,CROCCP3,IFITM1,0.796385649564113,435
4594887,TTC17,IFITM1,0.796387133463367,409
4594888,CDCA5,IFITM1,0.796387392867053,453
7860662,VWC2L,PRDX5,0.796387627425741,414
2630576,PHKA2,PLA2G5,0.796388125022095,516
4594889,CDC42EP3,IFITM1,0.796388373562578,495
4594890,LRPAP1,IFITM1,0.796388897951439,607
